host_response_time,neighbourhood,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,bed_type,price,minimum_nights,no_of_reviews,scores_rating,scores_cleanliness,scores_location,cancellation_policy
within an hour,Beacon Hill,98144,House,Private room,2,1,1,Real Bed,39,2,23,96,10,9,moderate
within an hour,Rainier Valley,98144,House,Private room,2,1,1,Real Bed,39,3,3,93,10,9,moderate
within an hour,Capitol Hill,98102,House,Shared room,1,1,1,Real Bed,40,2,44,90,9,10,strict
within an hour,University District,98105,House,Private room,3,2,1,Real Bed,40,1,30,89,9,10,strict
within an hour,University District,98105,House,Private room,2,1,1,Real Bed,40,1,23,94,10,9,strict
within an hour,Central Area,98144,House,Private room,2,0.5,1,Real Bed,40,1,26,86,8,8,moderate
within an hour,University District,98105,House,Private room,2,1,1,Real Bed,41,1,14,93,9,9,strict
within an hour,University District,98105,House,Private room,1,1,1,Real Bed,41,1,15,95,10,10,strict
within an hour,University District,98105,House,Shared room,1,1,1,Real Bed,42,4,2,90,9,10,strict
within an hour,Beacon Hill,98144,House,Private room,1,1,1,Real Bed,42,1,57,96,10,9,moderate
within an hour,University District,98105,House,Private room,2,1,1,Real Bed,43,1,12,87,9,9,strict
within an hour,University District,98105,House,Private room,2,1,1,Real Bed,43,1,9,96,10,10,strict
within an hour,University District,98105,House,Private room,2,1,1,Real Bed,44,1,14,96,10,10,strict
within an hour,Central Area,98122,House,Private room,1,2,1,Real Bed,44,2,41,99,10,10,flexible
within an hour,University District,98105,House,Private room,2,1,1,Real Bed,45,1,8,83,9,9,strict
within an hour,University District,98105,House,Private room,1,1,1,Real Bed,45,1,28,89,9,9,strict
within an hour,Capitol Hill,98102,House,Private room,1,1,1,Real Bed,47,2,14,94,10,10,strict
within an hour,University District,98105,House,Private room,2,1,1,Real Bed,47,1,28,94,9,9,strict
within an hour,University District,98105,House,Private room,2,1,1,Real Bed,47,1,14,87,9,9,strict
within a few hours,Capitol Hill,98102,House,Private room,2,2,1,Real Bed,48,2,7,83,9,9,flexible
within an hour,Central Area,98122,House,Private room,2,1.5,1,Real Bed,48,1,45,99,10,10,flexible
within a few hours,Capitol Hill,98102,House,Private room,2,2,1,Real Bed,49,2,11,100,10,10,flexible
within an hour,Capitol Hill,98102,House,Shared room,1,0.5,1,Real Bed,49,4,4,70,8,10,strict
within an hour,Capitol Hill,98102,House,Shared room,1,0.5,1,Real Bed,49,4,7,91,9,10,strict
within an hour,Capitol Hill,98102,House,Shared room,1,0.5,1,Real Bed,49,4,8,93,8,10,strict
within an hour,Capitol Hill,98102,House,Shared room,1,0.5,1,Real Bed,49,4,10,90,7,10,strict
within an hour,Central Area,98122,House,Private room,2,1,1,Real Bed,49,1,79,88,9,9,strict
within an hour,Central Area,98122,House,Private room,2,2,1,Real Bed,49,2,42,97,10,9,flexible
within an hour,Rainier Valley,98144,House,Private room,2,1,1,Real Bed,49,2,1,100,10,8,moderate
within an hour,Rainier Valley,98144,House,Private room,2,1,1,Real Bed,49,1,10,100,10,10,moderate
within an hour,Rainier Valley,98144,House,Private room,2,1,1,Real Bed,49,2,1,100,10,10,moderate
within an hour,University District,98105,House,Shared room,1,1,1,Real Bed,50,4,1,100,8,10,strict
within an hour,Ballard,98107,House,Private room,3,1,1,Real Bed,50,1,2,100,10,10,flexible
within an hour,Central Area,98112,House,Private room,4,1,1,Real Bed,50,1,2,100,10,10,moderate
within a few hours,Queen Anne,98119,House,Private room,2,1,1,Real Bed,50,1,1,80,10,10,flexible
within a day,Central Area,98122,House,Private room,1,1.5,1,Real Bed,50,1,11,89,9,9,flexible
within a day,Capitol Hill,98112,House,Private room,2,1,1,Real Bed,51,2,66,94,9,10,moderate
within a few hours,Capitol Hill,98102,House,Private room,2,2,1,Real Bed,52,2,9,91,10,10,moderate
within an hour,Capitol Hill,98102,House,Shared room,1,0.5,1,Real Bed,53,4,1,100,10,10,strict
within an hour,Capitol Hill,98102,House,Shared room,1,0.5,1,Real Bed,53,4,5,92,9,10,strict
